Kode Wilayah,nama kota,Nama BPS,Alamat,Nomor Telepon/Faksimili,Alamat Email,tautan
1209,Kabupaten Simalungun,BPS Kabupaten Simalungun,"Jl. Asahan KM 3,5 Pematangsiantar",Telp (0622) 7550253 Fax (0622) 7553191,bps1209@bps.go.id,https://simalungunkab.bps.go.id
1210,Kabupaten Dairi,BPS Kabupaten Dairi,Jl. Pelita No. 15 sidikalang 22212,Telp (0627) 21304 Fax (0627) 23759,bps1210@bps.go.id,https://dairikab.bps.go.id
1211,Kabupaten Karo,BPS Kabupaten Karo,Jl. Djamin Ginting No. 131 (Raya) Berastagi,Telp (0628) 92675 Fax (0628) 92851,bps1211@bps.go.id,https://karokab.bps.go.id
1212,Kabupaten Deli Serdang,BPS Kabupaten Deli Serdang,"Jl. Karya Utama Kompleks Pemkab, Deli Serdang, Lubuk Pakam 20514","Telp (061) 7951326, 7955111 Fax (061) 7951326",bps1212@bps.go.id,https://deliserdangkab.bps.go.id
1213,Kabupaten Langkat,BPS Kabupaten Langkat,"Jl. Tengku Putra Azis No. 1, Stabat 20814",Telp (061) 8910990 Fax (061) 8910223,bps1213@bps.go.id,https://langkatkab.bps.go.id
1214,Kabupaten Nias Selatan,BPS Kabupaten Nias Selatan,"Jl. Baloho Indah, Kecamatan Teluk Dalam, Nias Selatan 22856",Telp (0630) 7321139 Fax (0630) 7321179,bps1214@bps.go.id,https://niasselatankab.bps.go.id
1215,Kabupaten Humbang Hasundutan,BPS Kabupaten Humbang Hasundutan,"Jl. Bonan Dolok KM 3, Doloksanggul, Humbang Hasundutan 22457",Telp (0633) 31554 Fax (0633) 31667,bps1215@bps.go.id,https://humbanghasundutankab.bps.go.id
1216,Kabupaten Pakpak Bharat,BPS Kabupaten Pakphak Barat,Kompleks Panorama Indah Sindeka Salak 22272,Telp (0627) 7433065 Fax (0627) 7433092,bps1216@bps.go.id,https://pakpakbharatkab.bps.go.id
1217,Kabupaten Samosir,BPS Kabupaten Samosir,"Jl. Kompleks Perkantoran Pemkab Samosir Blok A, Desa Siopat Sosor Parbaba, Kec Pangururan 22392",Telp (0626) 2222490 Fax (0626) 2222491,bps1217@bps.go.id,https://samosirkab.bps.go.id
1218,Kabupaten Serdang Bedagai,BPS Kabupaten Serdang Bedagai,"Jl. Negara Medan-Tebing Tinggi, Kompleks Instansi Vertikal, Sei Rampah 20695",Telp (0621) 441805 Fax (0621) 441806,bps1218@bps.go.id,https://serdangbedagaikab.bps.go.id
1219,Kabupaten Batu Bara,BPS Kabupaten Batu Bara,"Jl. Lintas Sumatera Lk 5, Lima Puluh Kota 21255",Telp (0622) 697383 Fax (0622) 697383,bps1219@bps.go.id,https://batubarakab.bps.go.id
1220,Kabupaten Padang Lawas Utara,BPS Kabupaten Padang Lawas Utara,"Jl. Lintas Gunung Tua-Padangsidimpuan KM 4, Desa Sigama",Telp (0811) 6251220 Fax (0635) 510878,bps1220@bps.go.id,https://palutakab.bps.go.id
1221,Kabupaten Padang Lawas,BPS Kabupaten Padang Lawas,"Jl. Karya Pembangunan, Lingkungan VI, Sibuhuan",Telp (0636) 422114 Fax (0636) 422010,bps1221@bps.go.id,https://padanglawaskab.bps.go.id
,Kabupaten Labuhan Batu Selatan,,,,,https://labuhanbatuselatankab.bps.go.id
,Kabupaten Labuhan Batu Utara,,,,,https://labuhanbatuutarakab.bps.go.id
,Kabupaten Nias Utara,,,,,https://niasutarakab.bps.go.id
,Kabupaten Nias Barat,,,,,https://niasbaratkab.bps.go.id
1271,Kota Sibolga,BPS Kota Sibolga,"Jl. Tuanku Dorong Hutagalung No. 2, Sibolga",Telp (0631) 22082 Fax (0631) 25959,bps1271@bps.go.id,https://sibolgakota.bps.go.id
1272,Kota Tanjung Balai,BPS Kota Tanjung Balai,"Jl. Jend Sudirman 559 KM 4, Tanjungbalai 21369",Telp (0623) 597184 Fax (0623) 92004,bps1272@bps.go.id,https://tanjungbalaikota.bps.go.id
1273,Kota Pematang Siantar,BPS Kota Pematang Siantar,"Jl. Porsea No. 5, Pematangsiantar, Pematang Siantar",Telp (0622) 24495 Fax (0622) 24495,bps1273@bps.go.id,https://siantarkota.bps.go.id
1274,Kota Tebing Tinggi,BPS Kota Tebing Tinggi,"Jl. Gunung Leuser, Kompleks Pemko, Kota Tebing Tinggi",Telp (0621) 21733 Fax (0621) 21635,bps1274@bps.go.id,https://tebingtinggikota.bps.go.id
1275,Kota Medan,BPS Kota Medan,"Jl. Gaperta/Brigjen H Abdul Manaf Lubis No. 311, Medan",Telp (061) 8449285 Fax (061) 8449270,bps1275@bps.go.id,https://medankota.bps.go.id
1276,Kota Binjai,BPS Kota Binjai,Jl. WR Monginsidi No. 22 Binjai 20714,Telp (061) 8826571 Fax (061) 8821146,bps1276@bps.go.id,https://binjaikota.bps.go.id
1277,Kota Padangsidimpuan,BPS Kota Padang Sidimpuan,"Jl. HT Rizal Nurdin KM 7, Pal IV Pijarkoling, Padangsidimpuan",Telp (0634) 28775 Fax (0634) 28775,bps1277@bps.go.id,https://padangsidimpuankota.bps.go.id
1278,Kota Gunungsitoli,BPS Kota Gunung Sitoli,"Jl. Sutomo No. 1278, Desa Lasara Bahilli, Kec Gunungsitoli, Kota Gunungsitoli 22814",Telp/Fax (0639) 22558,bps1278@bps.go.id,https://gunungsitolikota.bps.go.id
1301,Kabupaten Kepulauan Mentawai,BPS Kabupaten Kepulauan Mentawai,"Jl. Raya Tapejat KM 10, Desa Bukit Pamewa, Kec. Sipora Utara, Kab. Kep Mentawai",Telp/Fax (0759) 320333,bps1301@bps.go.id,https://mentawaikab.bps.go.id
1302,Kabupaten Pesisir Selatan,BPS Kabupaten Pesisir Selatan,"Jl. Setia Budi Painan, Kab Pesisir Selatan",Telp/Fax (0756) 21004,bps1302@bps.go.id,https://pesselkab.bps.go.id
1303,Kabupaten Solok,BPS Kabupaten Solok,"Jl. Raya Solok Kota Padang KM 20, Kayu Aro, Kec Gunung Talang, Kab Solok",Telp (0755) 7334078 Fax (0755) 7334007,bps1303@bps.go.id,https://solokkab.bps.go.id
1304,Kabupaten Sijunjung,BPS Kabupaten Sijunjung,"Jl. Imam Bonjol Pasar Jumat, Muaro Sijunjung, Kab Sijunjung 27512",Telp/Fax (0754) 20015,bps1304@bps.go.id,https://sijunjungkab.bps.go.id
1305,Kabupaten Tanah Datar,BPS Kabupaten Tanah Datar,"Jl. Imam Bonjol No 17, Nagari Limo Kaum, Kec Lima Kaum 27213",Telp (0752) 71598 Fax (0752) 72593,bps1305@bps.go.id,https://tanahdatarkab.bps.go.id
1306,Kabupaten Padang Pariaman,BPS Kabupaten Padang Pariaman,"Jl. Imam Bonjol No 22, Kota Pariaman 25519",Telp (0751) 92699 Fax (0751) 92699,bps1306@bps.go.id,https://padangpariamankab.bps.go.id
1307,Kabupaten Agam,BPS Kabupaten Agam,"Jl. Veteran, Padang Baru, Lubuk Basung, Kab Agam 26415",Telp/Fax (0752) 76317,bps1307@bps.go.id,https://agamkab.bps.go.id
1308,Kabupaten Lima Puluh Kota,BPS Kabupaten Lima Puluh Kota,"Jl. Simpang Kompi C. No 26A, Sarilamak, Kab Lima Puluh Kota 26271","Telp (0752) 7750263, 7754299 Fax (0752) 7750263",bps1308@bps.go.id,https://limapuluhkotakab.bps.go.id
1309,Kabupaten Pasaman,BPS Kabupaten Pasaman,"Jl. Jend Sudirman No 66, Lubuk Sikaping 26311",Telp (0753) 20062 Fax (0753) 20914,bps1309@bps.go.id,https://pasamankab.bps.go.id
1310,Kabupaten Solok Selatan,BPS Kabupaten Solok Selatan,"Jl. Koto Tinggi Padang Aro, Kab Solok Selatan 27778",Telp (0755) 583315,bps1310@bps.go.id,https://solokselatankab.bps.go.id
1311,Kabupaten Dharmasraya,BPS Kabupaten Dhamasraya,"Jl. Lintas Sumatera KM 5, Sikabau, Kec Pulau Punjung, Kab Dharmasraya 27616",Telp (0754) 451548,bps1311@bps.go.id,https://dharmasrayakab.bps.go.id
1312,Kabupaten Pasaman Barat,BPS Kabupaten Pasaman Barat,Jl. Pertanian Padang Tujuah Pasaman Barat 26566,Telp (0753) 7465195 Fax (0753) 7465195,bps1312@bps.go.id,https://pasamanbaratkab.bps.go.id
1371,Kota Padang,BPS Kota Padang,"Jl. Raya Bypass KM 13, Sungai Sapih, Kec. Kuranji Padang, Kota Padang","Telp/Fax (0751) 498515, 497515",bps1371@bps.go.id,https://padangkota.bps.go.id
1372,Kota Solok,BPS Kota Solok,"Jl. Tembok Raya, Kel Nan Balimo, Kota Solok",Telp (0755) 325305,bps1372@bps.go.id,https://solokkota.bps.go.id
1373,Kota Sawah Lunto,BPS Kota Sawahlunto,"Jl. Bagindo Azis Chan, Kel. Aur Mulyo, Kec. Lembah Segar, Kota Sawahlunto",Telp/Fax (0754) 61049,bps1373@bps.go.id,https://sawahluntokota.bps.go.id
1374,Kota Padang Panjang,BPS Kota Padang Panjang,"Jl. Sutan Syahrir No 2, Silaing Bawah, Kota Padang Panjang",Telp/Fax (0752) 83089,bps1374@bps.go.id,https://padangpanjangkota.bps.go.id
1375,Kota Bukittinggi,BPS Kota Bukittinggi,"Jl. Perwira No 50, Belakang Balok, Bukittinggi 26136",Telp (0752) 21251 Fax (0752) 624629,bps1375@bps.go.id,https://bukittinggikota.bps.go.id
1376,Kota Payakumbuh,BPS Kota Payakumbuh,"Jl. Imam Bonjol No. 7, Kota Payakumbuh",Telp (0752) 92624 Fax (0752) 92264,bps1376@bps.go.id,https://payakumbuhkota.bps.go.id
1377,Kota Pariaman,BPS Kota Pariaman,"Jl. Sentot Alibasa, Jati Hilir, Kec. Pariaman Tengah, Kota Pariaman",Telp (0751) 93785,bps1377@bps.go.id,https://pariamankota.bps.go.id
1401,Kabupaten Kuantan Singingi,BPS Kabupaten Kuantan Singingi,"Jl. Roesdi S. Abrus No. 12, Teluk Kuantan",Telp/Fax (0760) 21190,bps1401@bps.go.id,https://kuansingkab.bps.go.id
1402,Kabupaten Indragiri Hulu,BPS Kabupaten Indragiri Hulu,"Jl. Batu Canai No.9, Kel. Pematang Reba, Indragiri Hulu",Telp/Fax (0769) 341285,bps1402@bps.go.id,https://inhukab.bps.go.id
1403,Kabupaten Indragiri Hilir,BPS Kabupaten Indragiri Hilir,"Jl. Bunga/Praja Sakti No. 11, Tembilahan 29212",Telp/Fax (0768) 22489,bps1403@bps.go.id,https://inhilkab.bps.go.id
1404,Kabupaten Pelalawan,BPS Kabupaten Pelalawan,"Jl. Tengku Said Jafar No. 6, Pangkalan Kerinci, Pelalawan 28300",Telp (0760) 7064336,bps1404@bps.go.id,https://pelalawankab.bps.go.id
1405,Kabupaten Siak,BPS Kabupaten Siak,"Komplek Perkantoran Sei Betung, Siak Sri Indrapura",Telp (0764) 8001052,bps1405@bps.go.id,https://siakkab.bps.go.id
1406,Kabupaten Kampar,BPS Kabupaten Kampar,"Jl. H. R. Soebrantas Siswanto No. 82, Bangkinang 28412",Telp/Fax (0762) 20046,bps1406@bps.go.id,https://kamparkab.bps.go.id
1407,Kabupaten Rokan Hulu,BPS Kabupaten Rokan Hulu,"Jl. Kelompok Tani No. 7, Desa Pematang Berangan, Kec. Rembah Pasir Pengaraian 28557",Telp/Fax (0762) 7392150,bps1407@bps.go.id,https://rohulkab.bps.go.id
1408,Kabupaten Bengkalis,BPS Kabupaten Bengkalis,"Jl. Antara No. 439, Bengkalis",Telp/Fax (0766) 21062,bps1408@bps.go.id,https://bengkaliskab.bps.go.id
1409,Kabupaten Rokan Hilir,BPS Kabupaten Rokan Hilir,Jl. Utama No. 21B Bagansiapiapi 28912,Telp/Fax (0767) 21217,bps1409@bps.go.id,https://rohilkab.bps.go.id
1410,Kabupaten Kepulauan Meranti,BPS Kabupaten Kepulauan Meranti,"Jl. Dorak, Selatpanjang",Telp (0763) 33553,bps1410@bps.go.id,https://merantikab.bps.go.id
1471,Kota Pekanbaru,BPS Kota Pekanbaru,"Jl. Rawa Indah, Kel. Sidomulyo Timur, Pekanbaru",Telp/Fax (0761) 34220,bps1471@bps.go.id,https://pekanbarukota.bps.go.id
1472,Kota Dumai,BPS Kota Dumai,Jl. Tuanku Tambusai Dumai 28882,Telp (0765) 440711 Fax (0765) 440712,bps1472@bps.go.id,https://dumaikota.bps.go.id
1501,Kabupaten Kerinci,BPS Kabupaten Kerinci,"Jl. Muradi, Koto Keras, Kec. Pesisir Bukit, Kota Sungai Penuh, Jambi 37113",Telp (0748) 21085,bps1501@bps.go.id,https://kerincikab.bps.go.id
1502,Kabupaten Merangin,BPS Kabupaten Merangin,"Jl. Pangeran Tumanggung, Bangko",Telp (0746) 21088,bps1502@bps.go.id,https://meranginkab.bps.go.id
1503,Kabupaten Sarolangun,BPS Kabupaten Sarolangun,"Jl. Komplek Perkantoran Gunung Kembang, Sarolangun",Telp (0745) 91796,bps1503@bps.go.id,https://sarolangunkab.bps.go.id
1504,Kabupaten Batang Hari,BPS Kab.Batang Hari,"Jl. Jenderal Sudirman Muara Bulan, Jambi 36613",Telp/Fax (0743) 21008,bps1504@bps.go.id,https://batangharikab.bps.go.id
1505,Kabupaten Muaro Jambi,BPS Kabupaten Muaro Jambi,"Komplek Perkantoran Pemda Muaro Jambi, Bukit Cinto Kenang Sengeti",Telp/Fax (0741) 590110,bps1505@bps.go.id,https://muarojambikab.bps.go.id
1506,Kabupaten Tanjung Jabung Timur,BPS Kabupaten Tanjung Jabung Timur,"Komplek Perkantoran Pemkab Tanjung Jabung Timur, Bukit Menderang Rano, Muara Sabak",Telp (0740) 7370043 Fax (0740) 7370044,bps1506@bps.go.id,https://tanjabtimkab.bps.go.id
1507,Kabupaten Tanjung Jabung Barat,BPS Kabupaten Tanjung Jabung Barat,"Jl. Prof. Dr. Sri Soedewi MS, SH. Kuala Tungkal, Jambi",Telp (0742) 21378,bps1507@bps.go.id,https://tanjabbarkab.bps.go.id
1508,Kabupaten Tebo,BPS Kabupaten Tebo,"Jl. Lintas Tebo-Bungo KM 12, Komplek Perkantoran Pemda Tebo, Muara Tebo",Telp (0744) 21261,bps1508@bps.go.id,https://tebokab.bps.go.id
1509,Kabupaten Bungo,BPS Kabupaten Bungo,"Jl. R.M. Thaher, Kel. Cadika, Kec. Rimbo Tengah, Bungo 37214",Telp/Fax (0747) 21120,bps1509@bps.go.id,https://bungokab.bps.go.id
1571,Kota Jambi,BPS Kota Jambi,"Jl. Basuki Rachmat, Kota Jambi, Jambi 38128",Telp (0741) 40539,bps1571@bps.go.id,https://jambikota.bps.go.id
1572,Kota Sungai Penuh,BPS Kota Sungai Penuh,"Jl. Basuki Rahmat, Kota Sungai Penuh, Jambi 37111",Telp/Fax (0748) 23308,bps1572@bps.go.id,https://sungaipenuhkota.bps.go.id
1601,Kabupaten Ogan Komering Ulu,BPS Kabupaten Ogan Komering Ulu,"Jl. Dr. Moh. Hatta No. 987A Kel. Kemala Raja, Kec. Baturaja Timur, Kab. Ogan Komering Ulu",Telp/Fax (0735) 320259,bps1601@bps.go.id,https://okukab.bps.go.id
1602,Kabupaten Ogan Komering Ilir,BPS Kabupaten Ogan Komering Ilir,"Jl. Kapten H. Sulaiman Raden Anom (Lintas Sumatera), Kel. Jua-Jua, Kota Kayuagung 30616",Telp/Fax (0712) 321015,bps1602@bps.go.id,https://okikab.bps.go.id
1603,Kabupaten Muara Enim,BPS Kabupaten Muara Enim,"Jl. Bambang Utoyo No. 44, Muara Enim",Telp/Fax (0734) 421088,bps1603@bps.go.id,https://muaraenimkab.bps.go.id
1604,Kabupaten Lahat,BPS Kabupaten Lahat,"Jl. Bandar Jaya Lingkungan III, Kel. Bandar Jaya, Kab. Lahat",Telp/Fax (0731) 321416,bps1604@bps.go.id,https://lahatkab.bps.go.id
1605,Kabupaten Musi Rawas,BPS Kabupaten Musi Rawas,Komplek Perkantoran Pemkab Musi Rawas Agropolitan Center,Telp/Fax (0733) 4540088,bps1605@bps.go.id,https://musirawaskab.bps.go.id
1606,Kabupaten Musi Banyuasin,BPS Kabupaten Musi Banyuasin,"Jl. Merdeka No.531, Kayu Ara, Sekayu, Kabupaten Musi Banyuasin, Sumatera Selatan 30711",Telp/Fax (0714) 321023,bps1606@bps.go.id,https://musibanyuasinkab.bps.go.id
1607,Kabupaten Banyu Asin,BPS Kabupaten Banyuasin,"Komplek Perkantoran Kabupaten Banyuasin, Jl Lingkar Sekojo",Telp/Fax (0711) 7690067,bps1607@bps.go.id,https://banyuasinkab.bps.go.id
1608,Kabupaten Ogan Komering Ulu Selatan,BPS Ogan Komering Ulu Selatan,"Jl. Raya Ranau KM 7,5, Muaradua 32171",Telp/Fax (0735) 591006,bps1608@bps.go.id,https://okuselatankab.bps.go.id
1609,Kabupaten Ogan Komering Ulu Timur,BPS Kabupaten Ogan Komering Ulu Timur,"Jl. Adiwiyata KM 7 (SP Lingot), Kota Baru Selatan, Martapura 32181",Telp/Fax (0735) 481606,bps1609@bps.go.id,https://okutimurkab.bps.go.id
1610,Kabupaten Ogan Ilir,BPS Kabupaten Ogan Ilir,"Jl. Palembang-Prabumulih KM 33, Desa Tanjung Pering, Indralaya 30813",Telp/Fax (0711) 581713,bps1610@bps.go.id,https://oganilirkab.bps.go.id
1611,Kabupaten Empat Lawang,BPS Kabupaten Empat Lawang,"Jl. Lintas Sumatera No. 35, Kec. Tinggi, Kab. Empat Lawang",Telp/Fax (0702) 21674,bps1611@bps.go.id,https://empatlawangkab.bps.go.id
1612,Kabupaten Penukal Abab Lematang Ilir,BPS Penukal Abab Lematang Ilir,"Jl. Bambang Utoyo No. 44, Muara Enim",Telp/Fax (0734) 421088,bps1612@bps.go.id,https://palikab.bps.go.id
1613,Kabupaten Musi Rawas Utara,BPS Musi Rawas Utara,Komplek Perkantoran Pemkab Musi Rawas Agropolitan Center,Telp/Fax (0733) 4540088,bps1605@bps.go.id,https://muratarakab.bps.go.id
1671,Kota Palembang,BPS Kota Palembang,"Jl. P. A. K. Abdul Rohim RT 21 RW 8 No. 2, Kel. Talang Semut, Palembang 30145",Telp/Fax (0711) 352184,bps1671@bps.go.id,https://palembangkota.bps.go.id
1672,Kota Prabumulih,BPS Kota Prabumulih,"Jl. Jend. Sudirman No. 60, Prabumulih 31142",Telp/Fax (0713) 3920031,bps1672@bps.go.id,https://prabumulihkota.bps.go.id
1673,Kota Pagar Alam,BPS Kota Pagar Alam,"Komplek Perkantoran Gunung Gare, Jl. Laskar Wanita Mentarjo, Kota Pagar Alam",Telp/Fax (0730) 623511,bps1673@bps.go.id,https://pagaralamkota.bps.go.id
1674,Kota Lubuklinggau,BPS Kota Lubuk Linggau,"Jl. Perumdam No. 1, Kel. Lubuk Tanjung, Lubuk Linggau",Telp/Fax (0733) 3236930,bps1674@bps.go.id,https://lubuklinggaukota.bps.go.id
1701,Kabupaten Bengkulu Selatan,BPS Kabupaten Bengkulu Selatan,JL. PANGERAN DUAYU MANNA 38651,Telp. (0739) 21048 Fax. (0739) 21048,bps1701@bps.go.id,https://bengkuluselatankab.bps.go.id
1702,Kabupaten Rejang Lebong,BPS Kabupaten Rejang Lebong,JL. SUKOWATI CURUP 39114,Telp. (0732) 21153 Fax. (0732) 24588,bps1702@bps.go.id,https://rejanglebongkab.bps.go.id
1703,Kabupaten Bengkulu Utara,BPS Kabupaten Bengkulu Utara,JL. PROF. M. YAMIN ARGA MAKMUR 38651,Telp. (0737) 521016 Fax. (0737) 521016,bps1703@bps.go.id,https://bengkuluutarakab.bps.go.id
1704,Kabupaten Kaur,BPS Kabupaten Kaur,"JL PELTU M. ILYAS T. Panji Alam, Kompleks Perkantoran Pemkab Kaur, Padang Kempas Bintuhan",Telp. (0739) 6180009 Fax. (0739) 6180002,bps1704@bps.go.id,https://kaurkab.bps.go.id
1705,Kabupaten Seluma,BPS Kabupaten Seluma,"Jl. RA Kartini Kelurahan Napal, Kec. Seluma",Telp. (0736) 9150007,bps1705@bps.go.id,https://selumakab.bps.go.id
1706,Kabupaten Mukomuko,BPS Kabupaten Mukomuko,KOMPLK. PERKANTORAN PEMDA MUKOMUKO KEL. BANDAR RATU,Telp. (0737) 71633 Fax. (0737) 71633,bps1706@bps.goid,https://mukomukokab.bps.go.id
1707,Kabupaten Lebong,BPS Kabupaten Lebong,"Jl. Jalur 2 Komplek Perkantoran Tubei, Lebong",Telp. (0738) 2200032,bps1707@bps.go.id,https://lebongkab.bps.go.id
1708,Kabupaten Kepahiang,BPS Kabupaten Kepahiang,JL. LINTAS KEPAHIANG KOPLK PERKANTORAN PEMDA KEPAHIANG,Telp. (0732) 3930009 Fax. (0732) 3930009,bps1708@bps.go.id,https://kepahiangkab.bps.go.id
